1. **Vendor Contact**: "Does the privacy policy clearly indicate whether users can contact the vendor with questions complaints or about material changes to the policy?",
2. **Quick Reference**: "Does the privacy policy provide a clear summary of the vendor's privacy principles using short explanations layered notices a table of contents or an outline?",
3. **Children Intended (BASIC)**: "Does the privacy policy state whether the product is intended for children under the age of 13?",
4. **Teens Intended**: "Does the privacy policy state whether the product is intended for teenagers aged 13 to 18?",
5. **Adults Intended**: "Does the privacy policy state whether the product is intended for adults over the age of 18?",
6. **Collect PII (BASIC)**: "Does the privacy policy specify whether the vendor collects personally identifiable information (PII)?",
7. **PII Categories**: "Does the privacy policy list the categories of personally identifiable information that are collected?",
8. **Geolocation Data**: "Does the privacy policy specify whether precise geolocation data are collected?",
9. **Health Data**: "Does the privacy policy specify whether any health or biometric data are collected?",
10. **Behavioral Data**: "Does the privacy policy specify whether any behavioral data are collected?",
11. **Sensitive Data**: "Does the privacy policy specify whether sensitive personal information is collected?",
12. **Usage Data**: "Does the privacy policy specify whether the product automatically collects any information?",
13. **Collection Limitation (BASIC)**: "Does the privacy policy state that the vendor limits the collection or use of information to only data specifically required for the product?",
14. **Data Shared (BASIC)**: "Does the privacy policy indicate if collected information including data collected via automated tracking or usage analytics is shared with third parties?",
15. **Sharing Purpose**: "Does the privacy policy specify the vendor's purpose for sharing a user's personal information with third parties?",
16. **Third-Party Analytics**: "Does the privacy policy specify whether collected information is shared with third parties for analytics and tracking purposes?",
17. **Exclude Sharing**: "Does the privacy policy specify any categories of information that will not be shared with third parties?",
18. **Data Acquired**: "Does the privacy policy specify whether the vendor may acquire a user's information from a third party?",
19. **Third-Party Categories**: "Does the privacy policy specify the categories of third parties such as subsidiaries or affiliates with whom the vendor shares data?",
20. **Data Deidentified**: "Does the privacy policy specify whether a user's information that is shared or sold to a third party is only done so in an anonymous or deidentified format?",
21. **Deidentified Process**: "Does the privacy policy specify whether the deidentification process is done with a reasonable level of justified confidence or provide links to any information that describes their deidentification process?",
22. **Third-Party Limits (BASIC)**: "Does the privacy policy specify whether the vendor imposes contractual limits on how third parties can use personal information shared or sold to them?",
23. **Purpose Limitation**: "Does the privacy policy specify whether the vendor limits the use of data collected by the product to the purpose for which it was collected?",
24. **Data Purpose**: "Does the privacy policy specify the context or purpose for which data are collected?",
25. **Context Notice**: "Does the privacy policy specify whether notice is provided to a user if the vendor changes the context in which data are collected?",
26. **Context Consent**: "Does the privacy policy specify whether the vendor will obtain consent if the data collection practices change or are inconsistent with contractual requirements?",
27. **Collection Consent**: "Does the privacy policy specify whether the vendor requests opt-in consent from a user at the time information is collected?",
28. **Complaint Notice**: "Does the privacy policy specify whether the vendor has a mechanism for users to file a complaint if their content or account is restricted or removed?",
29. **Opt-Out Consent**: "Does the privacy policy specify whether a user can opt out from the disclosure or sale of their data to a third party?",
30. **Disclosure Request**: "Does the privacy policy specify whether a user can request the vendor to provide all the personal information shared with third parties?",
31. **Disclosure Notice**: "Does the privacy policy specify whether the vendor will notify the affected user school parent or student in the event of a government or legal request for their information?",
32. **Access Data (BASIC)**: "Does the privacy policy specify whether the vendor provides authorized individuals a method to access a user's personal information?",
33. **Restrict Access**: "Does the privacy policy specify whether the vendor provides mechanisms to restrict what data are accessible to specific users?",
34. **Maintain Accuracy**: "Does the privacy policy specify whether the vendor takes steps to maintain the accuracy of the data they collect and store?",
35. **Data Modification (BASIC)**: "Does the privacy policy specify whether the vendor provides authorized individuals the ability to modify a user's inaccurate data?",
36. **Modification Process**: "Does the privacy policy specify whether the vendor provides a process for schools parents or eligible students to modify inaccurate student information?",
37. **Modification Notice**: "Does the privacy policy specify how long the vendor has to modify a user's inaccurate data after notice is given?",
38. **Retention Policy**: "Does the privacy policy specify the vendor's data retention policy including any data sunsets or time periods after which a user's data will be automatically deleted if inactive?",
39. **Retention Limits**: "Does the privacy policy specify whether the vendor will limit the retention of a user's data unless a valid request to inspect data is made?",
40. **Deletion Purpose**: "Does the privacy policy specify whether the vendor will delete a user's personal information when the data are no longer necessary to fulfill its intended purpose?",
41. **User Deletion**: "Does the privacy policy specify whether a user can delete all their personal and non-personal information from the vendor?",
42. **Deletion Process (BASIC)**: "Does the privacy policy specify whether the vendor provides a process for the school parent or eligible student to delete a student's personal information?",
43. **Deletion Notice**: "Does the privacy policy specify how long the vendor may take to delete a user's data after notice is given?",
44. **User Export**: "Does the privacy policy specify whether a user can export or download their data including any user-created content on the product?",
45. **Contractual Limits**: "Does the privacy policy specify whether a third-party successor of a data transfer is contractually required to provide the same privacy compliance required of the vendor?",
46. **Verify Identity**: "Does the privacy policy specify whether the vendor or authorized third party verifies a user's identity with personal information?",
47. **Security Agreement**: "Does the privacy policy specify whether a third party with access to a user's information is contractually required to provide the same level of security protections as the vendor?",
48. **Reasonable Security (BASIC)**: "Does the privacy policy specify whether reasonable security standards are used to protect the confidentiality of a user's personal information?",
49. **Transit Encryption (BASIC)**: "Does the privacy policy specify whether all data in transit is encrypted?",
